sales_id,alias,created_at,sale_date
385247,8727dc58-a36d-41c4-b668-606dab3be0ca,2019-09-03 01:29:55.812373+06,2019-09-03 06:00:00+06
385248,29c1c029-9871-42d4-845b-b46ce941f591,2019-09-03 01:30:37.822069+06,2019-09-03 06:00:00+06
385249,09d2d1b2-780b-4bc3-a09c-0f0999789d98,2019-09-03 02:02:57.949212+06,2019-09-03 02:02:50+06
385250,134ce719-be1c-445b-94ad-e693bfeadd3e,2019-09-03 02:33:11.984331+06,2019-09-03 02:25:45+06
385251,dab49442-b508-4c8b-95e0-2d8f91eb8f20,2019-09-03 02:37:43.100198+06,2019-09-03 02:37:25+06
385252,3a516520-6d43-4845-a9da-79b35e781f8b,2019-09-03 02:40:52.180398+06,2019-09-03 02:37:56+06
385253,24f96421-b9bd-4f1d-af52-8646e2aa06d9,2019-09-03 02:42:16.233524+06,2019-09-03 02:41:34+06
385254,9b296b92-1472-4864-a0ac-e31e4c183806,2019-09-03 02:49:26.525258+06,2019-09-03 02:49:12+06
385255,9bb76b27-d1c7-4cd3-b694-c335dc4bef82,2019-09-03 02:49:47.112054+06,2019-09-03 02:49:40+06
385256,5213d98e-eebd-4cc8-b715-76eaef07df8f,2019-09-03 03:01:13.475626+06,2019-09-03 02:59:24+06
385257,f778b39e-72bc-4409-8916-a14cd65d203f,2019-09-03 03:29:52.046847+06,2019-09-03 03:03:44+06
385258,4a75d634-9195-4ef8-bbb8-b957c964b92e,2019-09-03 03:43:53.914795+06,2019-09-03 03:43:19+06
385259,bee4fdcf-03ac-4d61-9a7a-91f6821a6687,2019-09-03 03:44:22.608027+06,2019-09-03 02:49:48+06
385260,7cd4a77b-4a25-4ea0-aee0-9ee20bd48a1d,2019-09-03 04:22:42.167338+06,2019-09-03 04:22:29+06
385261,ea4940bf-4c31-4ba0-bb51-81285cad376b,2019-09-03 04:46:26.366166+06,2019-09-03 04:22:51+06
385262,c40d2505-5c48-49b8-89b7-b18ba2f1e78e,2019-09-03 04:47:41.989355+06,2019-09-03 04:46:47+06
385263,beb7d9d6-74f5-4b6b-b6f2-09caf5ebef43,2019-09-03 05:34:42.307208+06,2019-09-03 05:34:10+06
385264,a439dd23-0104-4a6e-87ef-2029a770474b,2019-09-03 06:02:13.547628+06,2019-09-03 06:01:32+06
385265,3516a7dd-d676-47d6-acb8-d02b75774293,2019-09-03 06:10:28.823429+06,2019-09-03 06:10:05+06
385266,2c7d3918-0d05-4086-9584-f2ad8faa3d7b,2019-09-03 06:16:44.020289+06,2019-09-03 03:44:23+06
385267,085d8309-dd10-4aed-be94-c8277df02fb5,2019-09-03 06:20:46.0015+06,2019-09-03 06:19:50+06
385268,31286892-5d99-47ed-a143-d0ec99c27f7a,2019-09-03 06:23:23.424967+06,2019-09-03 06:22:04+06
385269,002aaf1f-148a-4300-9f7e-dfb90e03706b,2019-09-03 06:31:49.14559+06,2019-09-03 06:31:37+06
385270,822dfabb-1f31-4952-beee-35f3fea0b548,2019-09-03 06:36:50.715303+06,2019-09-03 06:36:34+06
385271,018d8919-2bbe-44ae-8591-9ead285f187d,2019-09-03 06:38:18.936787+06,2019-09-03 06:37:27+06
385272,feac7804-6b53-4fd8-a815-d4a98f329857,2019-09-03 06:38:43.350042+06,2019-09-03 06:38:28+06
385273,a8dc86f7-a614-44b6-ad6d-da6cf475cc0f,2019-09-03 06:42:52.063667+06,2019-09-03 06:39:51+06
385274,2f8c46df-12c0-4da4-8d57-925415cc90a0,2019-09-03 06:42:56.226628+06,2019-09-03 06:37:54+06
385275,f1a54513-ffc7-4408-956a-7dac35eae391,2019-09-03 06:45:40.002004+06,2019-09-03 06:43:02+06
385276,959c27cd-52d4-46b9-8d85-9162d409d03e,2019-09-03 06:46:57.60978+06,2019-09-03 06:45:53+06
